"product_key","product_name","brand","subcategory","category","order_count","units_sold","revenue_usd","cost_usd","profit_usd","profit_margin"
"65","WWI 2GB Spy Video Recorder Pen M300 Purple","Wide World Importers","Recording Pen","Audio","121","353","63893.00","29383.72","34509.28","0.5401"
"66","NT Bluetooth Stereo Headphones E52 Blue","Northwind Traders","Bluetooth Headphones","Audio","81","307","7886.83","4021.70","3865.13","0.4901"
"67","NT Bluetooth Stereo Headphones E52 Black","Northwind Traders","Bluetooth Headphones","Audio","87","254","6525.26","3327.40","3197.86","0.4901"
"68","NT Bluetooth Stereo Headphones E52 Yellow","Northwind Traders","Bluetooth Headphones","Audio","70","204","5240.76","2672.40","2568.36","0.4901"
"69","NT Bluetooth Stereo Headphones E52 Pink","Northwind Traders","Bluetooth Headphones","Audio","100","314","8066.66","4113.40","3953.26","0.4901"
"70","NT Wireless Bluetooth Stereo Headphones E102 Silver","Northwind Traders","Bluetooth Headphones","Audio","93","280","13426.00","6174.00","7252.00","0.5401"
"71","NT Wireless Bluetooth Stereo Headphones E102 Black","Northwind Traders","Bluetooth Headphones","Audio","91","281","13473.95","6196.05","7277.90","0.5401"
"72","NT Wireless Bluetooth Stereo Headphones E102 Blue","Northwind Traders","Bluetooth Headphones","Audio","85","268","12850.60","5909.40","6941.20","0.5401"
"73","NT Wireless Bluetooth Stereo Headphones E102 White","Northwind Traders","Bluetooth Headphones","Audio","99","319","15296.05","7033.95","8262.10","0.5401"
"74","NT Bluetooth Active Headphones E202 Black","Northwind Traders","Bluetooth Headphones","Audio","66","203","7703.85","3542.35","4161.50","0.5402"
"75","NT Bluetooth Active Headphones E202 White","Northwind Traders","Bluetooth Headphones","Audio","98","300","11385.00","5235.00","6150.00","0.5402"
"76","NT Bluetooth Active Headphones E202 Red","Northwind Traders","Bluetooth Headphones","Audio","89","266","10094.70","4641.70","5453.00","0.5402"
"77","NT Bluetooth Active Headphones E202 Silver","Northwind Traders","Bluetooth Headphones","Audio","77","258","9791.10","4502.10","5289.00","0.5402"
"78","NT Wireless Bluetooth Stereo Headphones E302 Silver","Northwind Traders","Bluetooth Headphones","Audio","87","260","10543.00","4849.00","5694.00","0.5401"
"79","NT Wireless Bluetooth Stereo Headphones E302 White","Northwind Traders","Bluetooth Headphones","Audio","87","253","10259.15","4718.45","5540.70","0.5401"
"80","NT Wireless Bluetooth Stereo Headphones E302 Yellow","Northwind Traders","Bluetooth Headphones","Audio","84","273","11070.15","5091.45","5978.70","0.5401"
"81","NT Wireless Bluetooth Stereo Headphones E302 Black","Northwind Traders","Bluetooth Headphones","Audio","81","289","11718.95","5389.85","6329.10","0.5401"
"82","NT Wireless Bluetooth Stereo Headphones E302 Pink","Northwind Traders","Bluetooth Headphones","Audio","94","283","11475.65","5277.95","6197.70","0.5401"
"83","NT Wireless Bluetooth Stereo Headphones M402 Silver","Northwind Traders","Bluetooth Headphones","Audio","72","223","22297.77","10253.54","12044.23","0.5402"
"84","NT Wireless Bluetooth Stereo Headphones M402 Red","Northwind Traders","Bluetooth Headphones","Audio","94","311","31096.89","14299.78","16797.11","0.5402"
"85","NT Wireless Bluetooth Stereo Headphones M402 Green","Northwind Traders","Bluetooth Headphones","Audio","85","278","27797.22","12782.44","15014.78","0.5402"
"86","NT Wireless Bluetooth Stereo Headphones M402 Black","Northwind Traders","Bluetooth Headphones","Audio","81","287","28697.13","13196.26","15500.87","0.5402"
"87","NT Wireless Bluetooth Stereo Headphones M402 Purple","Northwind Traders","Bluetooth Headphones","Audio","99","301","30096.99","13839.98","16257.01","0.5402"
"88","NT Wireless Transmitter and Bluetooth Headphones M150 Black","Northwind Traders","Bluetooth Headphones","Audio","91","251","37647.49","12472.19","25175.30","0.6687"
"89","NT Wireless Transmitter and Bluetooth Headphones M150 Blue","Northwind Traders","Bluetooth Headphones","Audio","82","267","40047.33","13267.23","26780.10","0.6687"
"90","NT Wireless Transmitter and Bluetooth Headphones M150 Silver","Northwind Traders","Bluetooth Headphones","Audio","94","294","44097.06","14608.86","29488.20","0.6687"
"91","NT Wireless Transmitter and Bluetooth Headphones M150 Green","Northwind Traders","Bluetooth Headphones","Audio","71","220","32997.80","10931.80","22066.00","0.6687"
"92","NT Wireless Transmitter and Bluetooth Headphones M150 Red","Northwind Traders","Bluetooth Headphones","Audio","74","220","32997.80","10931.80","22066.00","0.6687"
"93","WWI Stereo Bluetooth Headphones E1000 Blue","Wide World Importers","Bluetooth Headphones","Audio","92","321","21635.40","11029.56","10605.84","0.4902"
"94","WWI Stereo Bluetooth Headphones E1000 Black","Wide World Importers","Bluetooth Headphones","Audio","85","303","20422.20","10411.08","10011.12","0.4902"
"95","WWI Stereo Bluetooth Headphones E1000 Silver","Wide World Importers","Bluetooth Headphones","Audio","83","274","18467.60","9414.64","9052.96","0.4902"
"96","WWI Stereo Bluetooth Headphones E1000 White","Wide World Importers","Bluetooth Headphones","Audio","82","262","17658.80","9002.32","8656.48","0.4902"
"97","WWI Stereo Bluetooth Headphones E1000 Green","Wide World Importers","Bluetooth Headphones","Audio","106","300","20220.00","10308.00","9912.00","0.4902"
"98","WWI Wireless Bluetooth Stereo Headphones M170 Silver","Wide World Importers","Bluetooth Headphones","Audio","83","280","33600.00","15450.40","18149.60","0.5402"
"99","WWI Wireless Bluetooth Stereo Headphones M170 Black","Wide World Importers","Bluetooth Headphones","Audio","66","209","25080.00","11532.62","13547.38","0.5402"
"100","WWI Wireless Bluetooth Stereo Headphones M170 White","Wide World Importers","Bluetooth Headphones","Audio","100","264","31680.00","14567.52","17112.48","0.5402"
"101","WWI Wireless Bluetooth Stereo Headphones M170 Pink","Wide World Importers","Bluetooth Headphones","Audio","82","251","30120.00","13850.18","16269.82","0.5402"
"102","WWI Wireless Bluetooth Stereo Headphones M270 Silver","Wide World Importers","Bluetooth Headphones","Audio","89","299","34385.00","15811.12","18573.88","0.5402"
"103","WWI Wireless Bluetooth Stereo Headphones M270 Black","Wide World Importers","Bluetooth Headphones","Audio","94","359","41285.00","18983.92","22301.08","0.5402"
"104","WWI Wireless Bluetooth Stereo Headphones M270 White","Wide World Importers","Bluetooth Headphones","Audio","92","308","35420.00","16287.04","19132.96","0.5402"
"105","WWI Wireless Bluetooth Stereo Headphones M270 Pink","Wide World Importers","Bluetooth Headphones","Audio","106","319","36685.00","16868.72","19816.28","0.5402"
"106","WWI Stereo Bluetooth Headphones New Generation M370 Black","Wide World Importers","Bluetooth Headphones","Audio","94","271","36040.29","16574.36","19465.93","0.5401"
"107","WWI Stereo Bluetooth Headphones New Generation M370 White","Wide World Importers","Bluetooth Headphones","Audio","87","258","34311.42","15779.28","18532.14","0.5401"
"108","WWI Stereo Bluetooth Headphones New Generation M370 Yellow","Wide World Importers","Bluetooth Headphones","Audio","78","251","33380.49","15351.16","18029.33","0.5401"
"109","WWI Stereo Bluetooth Headphones New Generation M370 Orange","Wide World Importers","Bluetooth Headphones","Audio","90","272","36173.28","16635.52","19537.76","0.5401"
"110","WWI Stereo Bluetooth Headphones New Generation M370 Blue","Wide World Importers","Bluetooth Headphones","Audio","72","237","31518.63","14494.92","17023.71","0.5401"
"111","WWI Wireless Transmitter and Bluetooth Headphones X250 Black","Wide World Importers","Bluetooth Headphones","Audio","81","266","66497.34","22032.78","44464.56","0.6687"
"112","WWI Wireless Transmitter and Bluetooth Headphones X250 Blue","Wide World Importers","Bluetooth Headphones","Audio","73","220","54997.80","18222.60","36775.20","0.6687"
"113","WWI Wireless Transmitter and Bluetooth Headphones X250 White","Wide World Importers","Bluetooth Headphones","Audio","88","292","72997.08","24186.36","48810.72","0.6687"
"114","WWI Wireless Transmitter and Bluetooth Headphones X250 Red","Wide World Importers","Bluetooth Headphones","Audio","105","296","73997.04","24517.68","49479.36","0.6687"
"115","WWI Wireless Transmitter and Bluetooth Headphones X250 Silver","Wide World Importers","Bluetooth Headphones","Audio","82","277","69247.23","22943.91","46303.32","0.6687"
"116","Adventure Works 20"" CRT TV E15 Silver","Adventure Works","Televisions","TV and Video","32","114","19378.86","9880.38","9498.48","0.4901"
"117","Adventure Works 20"" CRT TV E15 Black","Adventure Works","Televisions","TV and Video","40","115","19548.85","9967.05","9581.80","0.4901"
"118","Adventure Works 20"" CRT TV E15 White","Adventure Works","Televisions","TV and Video","40","113","19208.87","9793.71","9415.16","0.4901"
"119","Adventure Works 13"" Color TV E25 Silver","Adventure Works","Televisions","TV and Video","36","114","13678.86","6973.38","6705.48","0.4902"
"120","Adventure Works 13"" Color TV E25 Black","Adventure Works","Televisions","TV and Video","39","116","13918.84","7095.72","6823.12","0.4902"
"121","Adventure Works 13"" Color TV E25 White","Adventure Works","Televisions","TV and Video","34","96","11519.04","5872.32","5646.72","0.4902"
"122","Adventure Works 19"" Portable LCD HDTV M110 Silver","Adventure Works","Televisions","TV and Video","32","120","33598.80","15451.20","18147.60","0.5401"
"123","Adventure Works 19"" Portable LCD HDTV M110 Black","Adventure Works","Televisions","TV and Video","34","111","31078.89","14292.36","16786.53","0.5401"
"124","Adventure Works 19"" Portable LCD HDTV M110 White","Adventure Works","Televisions","TV and Video","38","117","32758.83","15064.92","17693.91","0.5401"
"125","Adventure Works 19"" Color Digital TV E35 Silver","Adventure Works","Televisions","TV and Video","35","94","13479.60","6872.34","6607.26","0.4902"
"126","Adventure Works 19"" Color Digital TV E35 Black","Adventure Works","Televisions","TV and Video","36","132","18928.80","9650.52","9278.28","0.4902"
"127","Adventure Works 19"" Color Digital TV E35 White","Adventure Works","Televisions","TV and Video","33","107","15343.80","7822.77","7521.03","0.4902"
"128","Adventure Works 19"" Color Digital TV E35 Brown","Adventure Works","Televisions","TV and Video","42","139","19932.60","10162.29","9770.31","0.4902"
"129","Adventure Works 20"" Analog CRT TV E45 Silver","Adventure Works","Televisions","TV and Video","24","95","19000.00","9687.15","9312.85","0.4902"
"130","Adventure Works 20"" Analog CRT TV E45 Black","Adventure Works","Televisions","TV and Video","27","64","12800.00","6526.08","6273.92","0.4902"
"131","Adventure Works 20"" Analog CRT TV E45 White","Adventure Works","Televisions","TV and Video","33","95","19000.00","9687.15","9312.85","0.4902"
"132","Adventure Works 20"" Analog CRT TV E45 Brown","Adventure Works","Televisions","TV and Video","33","91","18200.00","9279.27","8920.73","0.4902"
"133","Adventure Works 20"" LCD HDTV M120 Silver","Adventure Works","Televisions","TV and Video","32","115","40244.25","18506.95","21737.30","0.5401"
"134","Adventure Works 20"" LCD HDTV M120 Black","Adventure Works","Televisions","TV and Video","27","104","36394.80","16736.72","19658.08","0.5401"
"135","Adventure Works 20"" LCD HDTV M120 White","Adventure Works","Televisions","TV and Video","37","130","45493.50","20920.90","24572.60","0.5401"
"136","Adventure Works 20"" LCD HDTV M120 Brown","Adventure Works","Televisions","TV and Video","32","83","29045.85","13357.19","15688.66","0.5401"
"137","Adventure Works 32"" LCD HDTV M130 Silver","Adventure Works","Televisions","TV and Video","37","111","55498.89","25522.23","29976.66","0.5401"
"138","Adventure Works 32"" LCD HDTV M130 Black","Adventure Works","Televisions","TV and Video","48","158","78998.42","36328.94","42669.48","0.5401"
"139","Adventure Works 32"" LCD HDTV M130 White","Adventure Works","Televisions","TV and Video","27","88","43999.12","20233.84","23765.28","0.5401"
"140","Adventure Works 32"" LCD HDTV M130 Brown","Adventure Works","Televisions","TV and Video","41","121","60498.79","27821.53","32677.26","0.5401"
"141","Adventure Works 15.6"" LCD TV M130W Silver","Adventure Works","Televisions","TV and Video","34","105","31498.95","16058.70","15440.25","0.4902"
"142","Adventure Works 15.6"" LCD TV M130W Black","Adventure Works","Televisions","TV and Video","34","131","39298.69","20035.14","19263.55","0.4902"
"143","Adventure Works 15.6"" LCD TV M130W White","Adventure Works","Televisions","TV and Video","45","149","44698.51","22788.06","21910.45","0.4902"
"144","Adventure Works 15.6"" LCD TV M130W Brown","Adventure Works","Televisions","TV and Video","43","112","33598.88","17129.28","16469.60","0.4902"
"145","Adventure Works 52"" LCD HDTV X590 Silver","Adventure Works","Televisions","TV and Video","31","122","353798.78","117220.04","236578.74","0.6687"
"146","Adventure Works 52"" LCD HDTV X590 Black","Adventure Works","Televisions","TV and Video","44","129","374098.71","123945.78","250152.93","0.6687"
"147","Adventure Works 52"" LCD HDTV X590 White","Adventure Works","Televisions","TV and Video","40","136","394398.64","130671.52","263727.12","0.6687"
"148","Adventure Works 52"" LCD HDTV X590 Brown","Adventure Works","Televisions","TV and Video","36","107","310298.93","102807.74","207491.19","0.6687"
"149","Adventure Works 40"" LCD HDTV M690 Silver","Adventure Works","Televisions","TV and Video","34","92","109017.24","36119.20","72898.04","0.6687"
"150","Adventure Works 40"" LCD HDTV M690 Black","Adventure Works","Televisions","TV and Video","33","97","114942.09","38082.20","76859.89","0.6687"
"151","Adventure Works 40"" LCD HDTV M690 White","Adventure Works","Televisions","TV and Video","29","84","99537.48","32978.40","66559.08","0.6687"
"152","Adventure Works 40"" LCD HDTV M690 Brown","Adventure Works","Televisions","TV and Video","39","106","125606.82","41615.60","83991.22","0.6687"
"153","Adventure Works 26"" 720p LCD HDTV M140 Silver","Adventure Works","Televisions","TV and Video","38","98","46057.06","21179.76","24877.30","0.5401"
"154","Adventure Works 26"" 720p LCD HDTV M140 Black","Adventure Works","Televisions","TV and Video","45","134","62975.98","28960.08","34015.90","0.5401"
"155","Adventure Works 26"" 720p LCD HDTV M140 White","Adventure Works","Televisions","TV and Video","26","84","39477.48","18154.08","21323.40","0.5401"
"156","Adventure Works 26"" 720p LCD HDTV M140 Brown","Adventure Works","Televisions","TV and Video","34","114","53576.58","24637.68","28938.90","0.5401"
"157","Adventure Works 37"" 1080p LCD HDTV M150W Silver","Adventure Works","Televisions","TV and Video","42","147","161698.53","74359.95","87338.58","0.5401"
"158","Adventure Works 37"" 1080p LCD HDTV M150W Black","Adventure Works","Televisions","TV and Video","36","118","129798.82","59690.30","70108.52","0.5401"
"159","Adventure Works 37"" 1080p LCD HDTV M150W White","Adventure Works","Televisions","TV and Video","43","152","167198.48","76889.20","90309.28","0.5401"
"160","Adventure Works 37"" 1080p LCD HDTV M150W Brown","Adventure Works","Televisions","TV and Video","35","106","116598.94","53620.10","62978.84","0.5401"
"161","Adventure Works 52"" LCD HDTV X790W Silver","Adventure Works","Televisions","TV and Video","35","102","162404.40","53808.06","108596.34","0.6687"
"162","Adventure Works 52"" LCD HDTV X790W Black","Adventure Works","Televisions","TV and Video","30","79","125783.80","41674.87","84108.93","0.6687"
"163","Adventure Works 52"" LCD HDTV X790W White","Adventure Works","Televisions","TV and Video","38","119","189471.80","62776.07","126695.73","0.6687"
"164","Adventure Works 52"" LCD HDTV X790W Brown","Adventure Works","Televisions","TV and Video","37","125","199025.00","65941.25","133083.75","0.6687"
"165","Adventure Works 42"" LCD HDTV M55 Black","Adventure Works","Televisions","TV and Video","43","134","102310.34","52160.84","50149.50","0.4902"
"166","SV 16xDVD M300 Black","Southridge Video","VCD & DVD","TV and Video","39","120","14280.00","6566.40","7713.60","0.5402"
"167","SV 8xDVD E100 Black","Southridge Video","VCD & DVD","TV and Video","29","88","6072.00","3095.84","2976.16","0.4901"
"168","SV 16xDVD M310 Black","Southridge Video","VCD & DVD","TV and Video","29","91","11739.00","5398.12","6340.88","0.5402"
"169","SV 16xDVD M320 Black","Southridge Video","VCD & DVD","TV and Video","38","113","13447.00","6183.36","7263.64","0.5402"
"170","SV 16xDVD M330 Black","Southridge Video","VCD & DVD","TV and Video","25","82","8938.00","4110.66","4827.34","0.5401"
"171","SV 16xDVD E340 Black","Southridge Video","VCD & DVD","TV and Video","27","78","7722.00","3551.34","4170.66","0.5401"
"172","SV 22xDVD X680 Black","Southridge Video","VCD & DVD","TV and Video","28","110","18590.00","6158.90","12431.10","0.6687"
"173","SV 8xDVD E120 Black","Southridge Video","VCD & DVD","TV and Video","37","93","8360.70","4262.19","4098.51","0.4902"
"174","SV 22xDVD M600 Black","Southridge Video","VCD & DVD","TV and Video","27","90","11691.00","3873.60","7817.40","0.6687"
"175","SV 16xDVD M350 Black","Southridge Video","VCD & DVD","TV and Video","31","129","15080.10","6935.04","8145.06","0.5401"
"176","SV 16xDVD M360 Black","Southridge Video","VCD & DVD","TV and Video","40","125","15862.50","7295.00","8567.50","0.5401"
"177","SV 8xDVD E130 Black","Southridge Video","VCD & DVD","TV and Video","32","105","5974.50","3046.05","2928.45","0.4902"
"178","SV 8xDVD E140 Black","Southridge Video","VCD & DVD","TV and Video","20","71","4686.00","2389.15","2296.85","0.4902"
"179","SV 16xDVD M300 Silver","Southridge Video","VCD & DVD","TV and Video","35","106","12614.00","5800.32","6813.68","0.5402"
"180","SV 8xDVD E100 Silver","Southridge Video","VCD & DVD","TV and Video","43","128","8832.00","4503.04","4328.96","0.4901"
"181","SV 16xDVD M310 Silver","Southridge Video","VCD & DVD","TV and Video","41","151","19479.00","8957.32","10521.68","0.5402"
"182","SV 16xDVD M320 Silver","Southridge Video","VCD & DVD","TV and Video","46","152","18088.00","8317.44","9770.56","0.5402"
"183","SV 16xDVD M330 Silver","Southridge Video","VCD & DVD","TV and Video","44","121","13189.00","6065.73","7123.27","0.5401"
"184","SV 16xDVD E340 Silver","Southridge Video","VCD & DVD","TV and Video","46","136","13464.00","6192.08","7271.92","0.5401"
"185","SV 22xDVD X680 Silver","Southridge Video","VCD & DVD","TV and Video","34","94","15886.00","5263.06","10622.94","0.6687"
"186","SV 8xDVD E120 Silver","Southridge Video","VCD & DVD","TV and Video","33","120","10788.00","5499.60","5288.40","0.4902"
"187","SV 22xDVD M600 Silver","Southridge Video","VCD & DVD","TV and Video","39","136","17666.40","5853.44","11812.96","0.6687"
"188","SV 16xDVD M350 Silver","Southridge Video","VCD & DVD","TV and Video","29","122","14261.80","6558.72","7703.08","0.5401"
"189","SV 16xDVD M360 Silver","Southridge Video","VCD & DVD","TV and Video","40","125","15862.50","7295.00","8567.50","0.5401"
"190","SV 8xDVD E130 Silver","Southridge Video","VCD & DVD","TV and Video","34","103","5860.70","2988.03","2872.67","0.4902"
"191","SV 8xDVD E140 Silver","Southridge Video","VCD & DVD","TV and Video","32","84","5544.00","2826.60","2717.40","0.4902"
"192","Litware Home Theater System 4.1 Channel M410 Black","Litware","Home Theater System","TV and Video","9","27","16173.00","7437.42","8735.58","0.5401"
"193","Litware Home Theater System 5.1 Channel M511 Black","Litware","Home Theater System","TV and Video","1","2","1398.00","642.88","755.12","0.5401"
"194","Litware Home Theater System 2.1 Channel E210 Black","Litware","Home Theater System","TV and Video","3","13","3887.00","1981.72","1905.28","0.4902"
"195","Litware Home Theater System 5.1 Channel M510 Black","Litware","Home Theater System","TV and Video","2","5","3195.00","1469.25","1725.75","0.5401"
"196","Litware Home Theater System 2.1 Channel E211 Black","Litware","Home Theater System","TV and Video","5","24","6477.60","3302.40","3175.20","0.4902"
"197","Litware Home Theater System 2.1 Channel E212 Black","Litware","Home Theater System","TV and Video","2","3","899.70","458.70","441.00","0.4902"
